"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USC00215838","NEW HOPE, MN US","2019-08-21",,,"0.00","0.0","0.0",,"76","57","60",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-22",,,"0.00","0.0","0.0",,"73","56","58",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-23",,,"0.00","0.0","0.0",,"75","53","65",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-24",,,"0.00","0.0","0.0",,"73","61","64",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-25",,,"0.06","0.0","0.0",,"73","62","65",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-26",,,"0.99","0.0","0.0",,"71","62","62",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-27",,,"0.00","0.0","0.0",,"71","59","60",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-28",,,"0.00","0.0","0.0",,"71","56","56",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-29",,,"0.00","0.0","0.0",,"73","56","58",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-30",,,"0.00","0.0","0.0",,"73","52","58",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-31",,,"0.00","0.0","0.0",,"70","55","60",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-01",,,"0.00","0.0","0.0",,"82","75","81",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-02",,,"0.00","0.0","0.0",,"85","67","85",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-03",,,"0.00","0.0","0.0",,"85","72","82",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-04",,,"0.00","0.0","0.0",,"85","68","83",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-05",,,"0.20","0.0","0.0",,"84","70","73",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-06",,,"0.00","0.0","0.0",,"85","65","84",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-07",,,"0.00","0.0","0.0",,"84","67","84",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-08",,,"0.00","0.0","0.0",,"84","60","74",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-09",,,"0.00","0.0","0.0",,"76","59","76",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-10",,,"0.00","0.0","0.0",,"76","65","69",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-11",,,"0.72","0.0","0.0",,"74","64","74",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-12",,,"0.00","0.0","0.0",,"75","66","75",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-13",,,"0.00","0.0","0.0",,"79","60","79",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-14",,,"0.00","0.0","0.0",,"79","61","75",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-15",,,"0.00","0.0","0.0",,"78","62","78",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-16",,,"1.69","0.0","0.0",,"78","63","75",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-17",,,"0.00","0.0","0.0",,"79","63","79",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-18",,,"2.04","0.0","0.0",,"79","63","71",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-19",,,"0.00","0.0","0.0",,"78","56","77",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-20",,,"0.00","0.0","0.0",,"84","64","80",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-21",,,"0.30","0.0","0.0",,"80","59","74",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-22",,,"0.00","0.0","0.0",,"74","58","70",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-23",,,"0.00","0.0","0.0",,"73","56","71",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-24",,,"0.00","0.0","0.0",,"72","62","69",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-25",,,"0.00","0.0","0.0",,"72","61","71",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-26",,,"0.25","0.0","0.0",,"71","63","65",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-27",,,"0.35","0.0","0.0",,"70","63","70",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-28",,,"0.00","0.0","0.0",,"71","56","70",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-29",,,"0.00","0.0","0.0",,"72","57","71",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-30",,,"0.00","0.0","0.0",,"71","56","69",,,,,,,,
"USC00218477","VADNAIS LAKE, MN US","2019-08-31",,,"0.00","0.0","0.0",,"72","55","72",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-01",,,"0.00","0.0","0.0","74","85","64",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-02",,,"0.00","0.0","0.0","78","85","69",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-03",,,"0.24","0.0","0.0","79","87","70",,,,"    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-04",,,"0.00","0.0","0.0","78","88","71",,"    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-05",,,"0.20","0.0","0.0","78","86","70",,"    1",,"    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-06",,,"0.00","0.0","0.0","76","86","66",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-07",,,"0.00","0.0","0.0","79","88","68",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-08",,,"0.00","0.0","0.0","72","79","58",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-09",,,"0.00","0.0","0.0","70","81","58",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-10",,,"0.44","0.0","0.0","70","73","66",,"    1",,"    1",,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-11",,,"0.00","0.0","0.0","69","81","66",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-12",,,"0.24","0.0","0.0","73","80","67",,"    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-13",,,"0.75","0.0","0.0","72","82","62",,"    1",,"    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-14",,,"0.00","0.0","0.0","69","78","63",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-15",,,"0.39","0.0","0.0","71","80","63",,"    1",,"    1",,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-16",,,"0.83","0.0","0.0","71","80","64",,"    1",,"    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-17",,,"0.00","0.0","0.0","74","83","63",,"    1",,"    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-18",,,"1.74","0.0","0.0","71","75","61",,"    1",,"    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-19",,,"0.00","0.0","0.0","68","81","58",,,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-20",,,"0.63","0.0","0.0","72","83","65",,"    1",,"    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-21",,,"0.00","0.0","0.0","71","77","59",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-22",,,"0.00","0.0","0.0","67","75","60",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-23",,,"0.00","0.0","0.0","67","77","58",,,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-24",,,"0.00","0.0","0.0","69","76","62",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-25",,,"0.01","0.0","0.0","67","75","61",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-26",,,"0.80","0.0","0.0","66","71","64",,"    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-27",,,"0.00","0.0","0.0","66","73","59",,,,"    1",,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-28",,,"0.00","0.0","0.0","64","74","57",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-29",,,"0.01","0.0","0.0","67","76","57",,,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-30",,,"0.00","0.0","0.0","64","75","53",,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2019-08-31",,,"0.00","0.0","0.0","64","72","58",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-01",,,"0.00",,,,"85","60",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-02",,,"0.00",,,,"86","66",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-03",,,"0.00",,,,"87","70",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-04",,,"0.00",,,,"87","65",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-05",,,"0.35",,,,"83","68",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-06",,,"0.00",,,,"85","62",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-07",,,"0.00",,,,"86","65",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-08",,,"0.00",,,,"78","57",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-09",,,"0.00",,,,"79","53",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-10",,,"0.95",,,,"71","65",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-11",,,"0.00",,,,"80","65",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-12",,,"0.00",,,,"78","64",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-13",,,"0.68",,,,"80","61",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-14",,,"0.01",,,,"77","61",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-15",,,"0.00",,,,"80","60",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-16",,,"0.14",,,,"80","63",,"    1",,"    1",,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-17",,,"0.16",,,,"83","60",,"    1",,"    1",,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-18",,,"1.44",,,,"75","57",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-19",,,"0.00",,,,"81","53",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-20",,,"0.44",,,,"82","64",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-21",,,"0.00",,,,"77","57",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-22",,,"0.00",,,,"74","56",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-23",,,"0.00",,,,"77","52",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-24",,,"0.00",,,,"74","62",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-25",,,"0.03",,,,"74","62",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-26",,,"0.87",,,,"71","63",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-27",,,"0.03",,,,"72","59",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-28",,,"0.00",,,,"72","55",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-29",,,"0.00",,,,"74","55",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-30",,,"0.00",,,,"74","50",,,,,,,,,
"USW00094960","MINNEAPOLIS CRYSTAL AIRPORT, MN US","2019-08-31",,,"0.00",,,,"72","54",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-01",,,"0.00",,,,"86","61",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-02",,,"0.00",,,,"86","65",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-03",,,"0.08",,,,"87","69",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-04",,,"0.00",,,,"88","66",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-05",,,"0.01",,,,"86","68",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-06",,,"0.00",,,,"86","63",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-07",,,"0.00",,,,"88","66",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-08",,,"0.00",,,,"78","57",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-09",,,"0.00",,,,"80","55",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-10",,,"0.83",,,,"74","64",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-11",,,"0.00",,,,"80","65",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-12",,,"0.01",,,,"79","64",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-13",,,"0.59",,,,"83","60",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-14",,,"0.02",,,,"77","62",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-15",,,"0.21",,,,"80","60",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-16",,,"0.68",,,,"80","63",,"    1",,"    1",,,,"    1",
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-17",,,"0.00",,,,"82","60",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-18",,,"1.37",,,,"75","57",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-19",,,"0.00",,,,"81","54",,"    1",,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-20",,,"0.35",,,,"81","62",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-21",,,"0.00",,,,"76","59",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-22",,,"0.00",,,,"74","57",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-23",,,"0.00",,,,"76","56",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-24",,,"0.00",,,,"74","61",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-25",,,"0.03",,,,"74","61",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-26",,,"0.81",,,,"70","62",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-27",,,"0.00",,,,"71","57",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-28",,,"0.00",,,,"72","56",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-29",,,"0.00",,,,"75","56",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-30",,,"0.00",,,,"73","51",,,,,,,,,
"USW00014927","ST. PAUL DOWNTOWN AIRPORT, MN US","2019-08-31",,,"0.00",,,,"74","56",,,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-01",,,"0.00","0.0",,,"90","60","63",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-02",,,"0.00","0.0",,,"84","63","68",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-03",,,"0.00","0.0",,,"85","68","72",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-04",,,"0.34","0.0",,,"85","68","70",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-05",,,"0.00","0.0",,,"86","69","71",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-06",,,"0.23","0.0",,,"85","68","68",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-07",,,"0.00","0.0",,,"85","68","69",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-08",,,"0.00","0.0",,,"84","61","61",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-09",,,"0.00","0.0",,,"77","60","62",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-10",,,"0.00","0.0",,,"78","62","68",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-11",,,"0.60","0.0",,,"71","63","66",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-12",,,"0.00","0.0",,,"79","64","67",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-13",,,"0.00","0.0",,,"78","62","63",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-14",,,"0.53","0.0",,,"81","61","62",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-15",,,"0.00","0.0",,,"76","62","65",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-16",,,"0.61","0.0",,,"80","63","63",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-17",,,"0.00","0.0",,,"79","63","64",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-18",,,"2.23","0.0",,,"82","63","65",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-19",,,"0.00","0.0",,,"73","57","58",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-20",,,"0.00","0.0",,,"79","56","65",,,,,,,,
"USC00214884","LOWER ST. ANTHONY FALLS, MN US","2019-08-21",,,"1.00","0.0",,,"81","61","62",,,,,,,,
