,Day,Time,Temperature,Wind Speed,Dew Point,Precipitation
61,2019-04-23,7:53 AM,44,0,36,0.0
62,2019-04-23,8:53 AM,48,0,37,0.0
63,2019-04-23,9:53 AM,50,0,37,0.0
64,2019-04-23,10:53 AM,53,3,36,0.0
65,2019-04-23,11:53 AM,57,5,38,0.0
66,2019-04-23,12:53 PM,60,0,38,0.0
67,2019-04-23,1:53 PM,61,5,36,0.0
68,2019-04-23,2:53 PM,63,6,37,0.0
69,2019-04-23,3:53 PM,64,8,37,0.0
70,2019-04-23,4:53 PM,65,9,38,0.0
71,2019-04-23,5:53 PM,64,9,38,0.0
72,2019-04-23,6:53 PM,62,9,37,0.0
73,2019-04-23,7:53 PM,61,3,36,0.0
74,2019-04-23,8:53 PM,60,7,37,0.0
75,2019-04-23,9:53 PM,55,5,37,0.0
76,2019-04-23,10:53 PM,53,6,37,0.0
77,2019-04-24,11:53 PM,52,7,36,0.0
78,2019-04-24,12:53 AM,50,7,36,0.0
79,2019-04-24,1:53 AM,54,12,36,0.0
80,2019-04-24,2:53 AM,54,12,35,0.0
81,2019-04-24,3:53 AM,53,9,35,0.0
82,2019-04-24,5:53 AM,53,7,35,0.0
83,2019-04-24,6:53 AM,55,7,36,0.0
84,2019-04-24,7:53 AM,61,13,35,0.0
85,2019-04-24,8:53 AM,62,17,36,0.0
86,2019-04-24,9:53 AM,63,13,37,0.0
87,2019-04-24,10:53 AM,66,13,39,0.0
88,2019-04-24,11:53 AM,67,17,38,0.0
89,2019-04-24,12:53 PM,67,14,39,0.0
90,2019-04-24,1:53 PM,69,21,39,0.0
91,2019-04-24,2:53 PM,71,14,39,0.0
92,2019-04-24,3:53 PM,72,16,40,0.0
93,2019-04-24,4:53 PM,72,12,41,0.0
94,2019-04-24,5:53 PM,72,10,42,0.0
95,2019-04-24,6:53 PM,71,6,42,0.0
96,2019-04-24,7:53 PM,64,9,50,0.0
97,2019-04-24,8:53 PM,65,3,48,0.0
98,2019-04-24,9:53 PM,61,6,47,0.0
99,2019-04-24,10:53 PM,64,6,44,0.0
100,2019-04-25,11:53 PM,63,6,44,0.0
101,2019-04-25,12:53 AM,62,6,47,0.0
102,2019-04-25,1:53 AM,60,0,48,0.0
103,2019-04-25,2:53 AM,60,0,47,0.0
104,2019-04-25,3:53 AM,57,6,46,0.0
105,2019-04-25,4:53 AM,57,5,44,0.0
106,2019-04-25,5:53 AM,58,7,38,0.0
107,2019-04-25,6:53 AM,58,7,37,0.0
108,2019-04-25,7:53 AM,58,3,37,0.0
109,2019-04-25,8:53 AM,58,5,38,0.0
110,2019-04-25,9:53 AM,60,9,37,0.0
111,2019-04-25,10:53 AM,63,8,36,0.0
112,2019-04-25,11:53 AM,65,13,37,0.0
113,2019-04-25,12:53 PM,68,13,32,0.0
114,2019-04-25,1:53 PM,70,12,26,0.0
115,2019-04-25,2:53 PM,71,16,24,0.0
116,2019-04-25,3:53 PM,71,17,24,0.0
117,2019-04-25,4:53 PM,70,20,23,0.0
118,2019-04-25,5:53 PM,68,23,25,0.0
119,2019-04-25,6:53 PM,64,22,27,0.0
120,2019-04-25,7:53 PM,62,16,28,0.0
121,2019-04-25,8:53 PM,60,16,29,0.0
122,2019-04-25,9:53 PM,56,22,22,0.0
123,2019-04-25,10:53 PM,53,16,18,0.0
124,2019-04-26,11:53 PM,50,14,20,0.0
125,2019-04-26,12:53 AM,50,15,21,0.0
126,2019-04-26,1:53 AM,48,14,24,0.0
127,2019-04-26,2:53 AM,47,14,27,0.0
128,2019-04-26,3:53 AM,46,17,29,0.0
129,2019-04-26,4:53 AM,44,16,30,0.0
130,2019-04-26,5:53 AM,43,20,29,0.0
131,2019-04-26,6:53 AM,44,20,29,0.0
132,2019-04-26,7:53 AM,47,17,30,0.0
133,2019-04-26,8:53 AM,49,21,29,0.0
134,2019-04-26,9:53 AM,52,16,30,0.0
135,2019-04-26,10:53 AM,54,17,28,0.0
136,2019-04-26,11:53 AM,56,21,28,0.0
137,2019-04-26,12:53 PM,57,14,26,0.0
138,2019-04-26,1:53 PM,57,20,26,0.0
139,2019-04-26,2:53 PM,57,16,26,0.0
140,2019-04-26,3:53 PM,58,16,26,0.0
141,2019-04-26,4:53 PM,57,12,24,0.0
142,2019-04-26,5:53 PM,56,10,24,0.0
143,2019-04-26,6:53 PM,54,10,24,0.0
144,2019-04-26,7:53 PM,53,9,23,0.0
145,2019-04-26,8:53 PM,51,9,23,0.0
146,2019-04-26,9:53 PM,49,7,22,0.0
147,2019-04-26,10:53 PM,49,8,22,0.0
148,2019-04-27,11:53 PM,48,12,23,0.0
149,2019-04-27,12:53 AM,47,7,23,0.0
150,2019-04-27,1:53 AM,46,9,22,0.0
151,2019-04-27,2:53 AM,46,12,21,0.0
152,2019-04-27,3:53 AM,45,12,20,0.0
153,2019-04-27,4:53 AM,45,13,19,0.0
154,2019-04-27,5:53 AM,44,14,19,0.0
155,2019-04-27,6:53 AM,44,12,19,0.0
156,2019-04-27,7:53 AM,44,13,20,0.0
157,2019-04-27,8:53 AM,40,15,30,0.0
158,2019-04-27,9:04 AM,40,9,29,0.0
159,2019-04-27,9:53 AM,40,12,30,0.0
160,2019-04-27,10:53 AM,43,10,24,0.0
161,2019-04-27,11:53 AM,44,0,23,0.0
162,2019-04-27,12:53 PM,46,12,20,0.0
163,2019-04-27,1:53 PM,47,8,18,0.0
164,2019-04-27,2:53 PM,49,8,18,0.0
165,2019-04-27,3:53 PM,50,10,16,0.0
166,2019-04-27,4:53 PM,50,7,16,0.0
167,2019-04-27,5:53 PM,49,6,17,0.0
168,2019-04-27,6:53 PM,48,7,17,0.0
169,2019-04-27,7:53 PM,48,0,16,0.0
170,2019-04-27,8:53 PM,47,5,19,0.0
171,2019-04-27,9:53 PM,45,5,19,0.0
172,2019-04-27,10:53 PM,43,7,22,0.0
173,2019-04-28,11:53 PM,40,7,31,0.0
174,2019-04-28,12:53 AM,39,5,33,0.0
175,2019-04-28,1:53 AM,39,5,33,0.0
176,2019-04-28,2:53 AM,38,3,33,0.0
177,2019-04-28,3:53 AM,37,7,32,0.0
178,2019-04-28,4:53 AM,37,5,33,0.0
179,2019-04-28,5:53 AM,38,3,33,0.0
180,2019-04-28,6:53 AM,39,3,33,0.0
181,2019-04-28,7:53 AM,41,3,34,0.0
182,2019-04-28,8:53 AM,45,5,35,0.0
183,2019-04-28,9:53 AM,48,8,35,0.0
184,2019-04-28,10:53 AM,52,9,29,0.0
185,2019-04-28,11:53 AM,54,12,25,0.0
186,2019-04-28,12:53 PM,54,13,24,0.0
187,2019-04-28,1:53 PM,53,17,25,0.0
188,2019-04-28,2:53 PM,53,20,25,0.0
189,2019-04-28,3:53 PM,53,17,22,0.0
190,2019-04-28,4:53 PM,52,20,21,0.0
191,2019-04-28,5:53 PM,51,18,19,0.0
192,2019-04-28,6:53 PM,50,16,23,0.0
193,2019-04-28,7:53 PM,50,23,18,0.0
194,2019-04-28,8:53 PM,49,12,20,0.0
195,2019-04-28,9:53 PM,49,15,19,0.0
196,2019-04-28,10:53 PM,48,17,21,0.0
197,2019-04-29,11:53 PM,49,17,24,0.0
198,2019-04-29,12:53 AM,48,12,26,0.0
199,2019-04-29,1:53 AM,48,16,27,0.0
200,2019-04-29,2:53 AM,48,16,25,0.0
201,2019-04-29,3:53 AM,47,12,25,0.0
202,2019-04-29,4:53 AM,46,9,28,0.0
203,2019-04-29,5:33 AM,45,9,30,0.0
204,2019-04-29,5:53 AM,45,8,30,0.0
205,2019-04-29,6:53 AM,44,13,33,0.0
206,2019-04-29,7:53 AM,43,12,35,0.0
207,2019-04-29,8:53 AM,44,10,36,0.0
208,2019-04-29,9:37 AM,45,10,37,0.0
209,2019-04-29,9:51 AM,45,8,37,0.0
210,2019-04-29,9:53 AM,45,8,38,0.0
211,2019-04-29,10:02 AM,45,7,38,0.0
212,2019-04-29,10:14 AM,46,8,38,0.0
213,2019-04-29,10:53 AM,48,3,39,0.0
214,2019-04-29,11:53 AM,50,6,39,0.0
215,2019-04-29,12:53 PM,54,0,40,0.0
216,2019-04-29,1:53 PM,53,6,39,0.0
217,2019-04-29,2:53 PM,55,7,39,0.0
218,2019-04-29,3:53 PM,56,5,38,0.0
219,2019-04-29,4:53 PM,55,6,37,0.0
220,2019-04-29,5:53 PM,55,7,37,0.0
221,2019-04-29,6:53 PM,53,7,36,0.0
222,2019-04-29,7:53 PM,52,8,37,0.0
223,2019-04-29,8:53 PM,50,12,38,0.0
224,2019-04-29,9:53 PM,48,8,37,0.0
225,2019-04-29,10:53 PM,46,8,36,0.0
226,2019-04-30,11:53 PM,45,12,37,0.0
227,2019-04-30,12:53 AM,43,9,36,0.0
228,2019-04-30,1:53 AM,41,12,36,0.0
229,2019-04-30,2:53 AM,42,7,33,0.0
230,2019-04-30,3:53 AM,41,10,31,0.0
231,2019-04-30,4:53 AM,41,8,30,0.0
232,2019-04-30,5:01 AM,41,7,31,0.0
233,2019-04-30,5:26 AM,40,8,31,0.0
234,2019-04-30,5:53 AM,40,9,31,0.0
235,2019-04-30,6:53 AM,39,10,31,0.0
236,2019-04-30,7:53 AM,39,9,31,0.0
237,2019-04-30,8:53 AM,40,8,32,0.0
238,2019-04-30,9:53 AM,41,8,34,0.0
239,2019-04-30,10:29 AM,41,9,36,0.0
240,2019-04-30,10:37 AM,42,10,36,0.0
241,2019-04-30,10:44 AM,41,9,36,0.0
242,2019-04-30,10:53 AM,42,10,37,0.0
243,2019-04-30,11:20 AM,43,10,39,0.0
244,2019-04-30,11:26 AM,43,10,39,0.0
245,2019-04-30,11:53 AM,43,10,39,0.0
246,2019-04-30,12:45 PM,44,9,40,0.0
247,2019-04-30,12:53 PM,44,7,40,0.0
248,2019-04-30,1:53 PM,45,15,41,0.1
249,2019-04-30,2:53 PM,45,13,41,0.0
250,2019-04-30,3:53 PM,44,13,40,0.0
251,2019-04-30,4:53 PM,45,12,40,0.0
252,2019-04-30,5:16 PM,45,14,40,0.0
253,2019-04-30,5:53 PM,44,15,40,0.0
254,2019-04-30,6:05 PM,44,14,40,0.0
255,2019-04-30,6:13 PM,44,14,39,0.0
256,2019-04-30,6:27 PM,44,13,39,0.0
257,2019-04-30,6:41 PM,43,15,39,0.0
258,2019-04-30,6:53 PM,43,16,39,0.0
259,2019-04-30,7:18 PM,43,16,38,0.0
260,2019-04-30,7:27 PM,42,15,38,0.0
261,2019-04-30,7:53 PM,42,15,38,0.0
262,2019-04-30,8:24 PM,42,14,37,0.0
263,2019-04-30,8:53 PM,41,14,37,0.0
264,2019-04-30,9:41 PM,41,13,36,0.0
265,2019-04-30,9:53 PM,41,10,36,0.0
266,2019-04-30,10:41 PM,41,9,37,0.0
267,2019-04-30,10:53 PM,40,8,37,0.0
268,2019-05-01,11:49 PM,39,9,37,0.0
269,2019-05-01,11:53 PM,40,10,38,0.0
270,2019-05-01,12:06 AM,40,8,38,0.0
271,2019-05-01,12:53 AM,40,13,37,0.0
272,2019-05-01,1:53 AM,39,10,37,0.0
273,2019-05-01,2:53 AM,39,14,36,0.0
274,2019-05-01,3:53 AM,39,12,36,0.0
275,2019-05-01,4:53 AM,39,9,36,0.0
276,2019-05-01,5:53 AM,39,9,36,0.0
277,2019-05-01,6:53 AM,40,8,36,0.0
278,2019-05-01,7:53 AM,41,9,37,0.0
279,2019-05-01,8:53 AM,42,9,37,0.0
280,2019-05-01,9:53 AM,42,9,37,0.0
281,2019-05-01,10:53 AM,44,10,37,0.0
282,2019-05-01,11:53 AM,44,9,37,0.0
283,2019-05-01,12:01 PM,44,10,37,0.0
284,2019-05-01,12:53 PM,44,8,38,0.0
285,2019-05-01,1:53 PM,45,8,38,0.0
286,2019-05-01,2:53 PM,45,8,38,0.0
287,2019-05-01,3:53 PM,45,6,38,0.0
288,2019-05-01,4:53 PM,46,8,38,0.0
289,2019-05-01,5:53 PM,45,7,38,0.0
290,2019-05-01,6:53 PM,45,5,38,0.0
291,2019-05-01,7:53 PM,44,5,38,0.0
292,2019-05-01,8:18 PM,44,5,38,0.0
293,2019-05-01,8:53 PM,44,6,38,0.0
294,2019-05-01,9:03 PM,44,5,39,0.0
295,2019-05-01,9:38 PM,44,5,39,0.0
296,2019-05-01,9:53 PM,44,3,39,0.0
297,2019-05-01,10:53 PM,43,5,40,0.0
298,2019-05-02,11:22 PM,43,3,40,0.0
299,2019-05-02,11:49 PM,43,0,39,0.0
300,2019-05-02,11:53 PM,42,0,40,0.0
301,2019-05-02,12:53 AM,43,0,40,0.0
302,2019-05-02,1:30 AM,43,0,40,0.0
303,2019-05-02,1:53 AM,43,0,40,0.0
304,2019-05-02,2:19 AM,43,3,41,0.0
305,2019-05-02,2:35 AM,43,0,41,0.0
306,2019-05-02,2:40 AM,43,0,41,0.0
307,2019-05-02,2:48 AM,43,0,41,0.0
308,2019-05-02,2:53 AM,43,0,41,0.0
309,2019-05-02,3:37 AM,43,0,40,0.0
310,2019-05-02,3:53 AM,43,0,41,0.0
311,2019-05-02,4:11 AM,43,0,41,0.0
312,2019-05-02,4:53 AM,43,0,41,0.0
313,2019-05-02,5:14 AM,43,0,41,0.0
314,2019-05-02,5:53 AM,44,0,41,0.0
315,2019-05-02,6:53 AM,45,7,41,0.0
316,2019-05-02,7:53 AM,46,8,41,0.0
317,2019-05-02,8:19 AM,46,8,40,0.0
318,2019-05-02,8:53 AM,47,8,39,0.0
319,2019-05-02,9:53 AM,48,7,38,0.0
320,2019-05-02,10:37 AM,49,9,37,0.0
321,2019-05-02,10:53 AM,49,8,37,0.0
322,2019-05-02,11:53 AM,51,8,37,0.0
323,2019-05-02,12:53 PM,52,10,37,0.0
324,2019-05-02,1:53 PM,52,7,37,0.0
325,2019-05-02,2:53 PM,53,10,35,0.0
326,2019-05-02,3:53 PM,53,10,35,0.0
327,2019-05-02,4:53 PM,56,0,34,0.0
328,2019-05-02,5:53 PM,54,0,34,0.0
329,2019-05-02,6:53 PM,52,8,34,0.0
330,2019-05-02,7:53 PM,49,8,33,0.0
331,2019-05-02,8:53 PM,48,6,34,0.0
332,2019-05-02,9:53 PM,47,3,34,0.0
333,2019-05-02,10:53 PM,44,0,34,0.0
334,2019-05-03,11:53 PM,42,0,35,0.0
335,2019-05-03,12:53 AM,41,0,33,0.0
336,2019-05-03,1:53 AM,38,0,33,0.0
337,2019-05-03,2:53 AM,36,3,33,0.0
338,2019-05-03,3:53 AM,36,0,32,0.0
339,2019-05-03,4:53 AM,37,0,33,0.0
340,2019-05-03,5:53 AM,39,3,34,0.0
341,2019-05-03,6:53 AM,43,0,36,0.0
342,2019-05-03,7:53 AM,48,3,38,0.0
343,2019-05-03,8:53 AM,52,7,37,0.0
344,2019-05-03,9:53 AM,54,10,35,0.0
345,2019-05-03,10:53 AM,56,9,35,0.0
346,2019-05-03,11:53 AM,56,9,36,0.0
347,2019-05-03,12:53 PM,58,12,37,0.0
348,2019-05-03,1:53 PM,61,13,37,0.0
349,2019-05-03,2:53 PM,62,14,37,0.0
350,2019-05-03,3:53 PM,62,17,38,0.0
351,2019-05-03,4:53 PM,62,15,36,0.0
352,2019-05-03,5:53 PM,61,10,38,0.0
353,2019-05-03,6:53 PM,56,15,43,0.0
354,2019-05-03,7:53 PM,53,7,49,0.1
355,2019-05-03,8:53 PM,53,3,48,0.0
356,2019-05-03,9:53 PM,53,6,48,0.0
357,2019-05-03,10:53 PM,51,6,48,0.0
358,2019-05-04,11:53 PM,50,7,47,0.0
359,2019-05-04,12:53 AM,49,0,47,0.0
360,2019-05-04,1:53 AM,48,3,46,0.0
361,2019-05-04,2:53 AM,46,3,45,0.0
362,2019-05-04,3:53 AM,46,3,44,0.0
363,2019-05-04,4:53 AM,45,5,44,0.0
364,2019-05-04,5:53 AM,46,3,45,0.0
365,2019-05-04,6:53 AM,50,5,46,0.0
366,2019-05-04,7:53 AM,53,5,48,0.0
367,2019-05-04,8:53 AM,59,6,48,0.0
368,2019-05-04,9:53 AM,64,8,40,0.0
369,2019-05-04,10:53 AM,65,9,34,0.0
370,2019-05-04,11:53 AM,67,5,32,0.0
371,2019-05-04,12:53 PM,68,7,29,0.0
372,2019-05-04,1:53 PM,69,7,28,0.0
373,2019-05-04,2:53 PM,70,8,28,0.0
374,2019-05-04,3:53 PM,70,10,28,0.0
375,2019-05-04,4:53 PM,70,7,21,0.0
376,2019-05-04,5:53 PM,68,7,22,0.0
377,2019-05-04,6:53 PM,67,6,22,0.0
378,2019-05-04,7:53 PM,66,6,23,0.0
379,2019-05-04,8:53 PM,64,3,27,0.0
380,2019-05-04,9:53 PM,62,5,30,0.0
381,2019-05-04,10:53 PM,60,0,31,0.0
382,2019-05-05,11:53 PM,56,0,35,0.0
383,2019-05-05,12:53 AM,57,0,34,0.0
384,2019-05-05,1:53 AM,56,0,35,0.0
385,2019-05-05,2:53 AM,53,0,36,0.0
386,2019-05-05,3:53 AM,49,8,39,0.0
387,2019-05-05,4:53 AM,50,10,40,0.0
388,2019-05-05,5:53 AM,49,13,39,0.0
389,2019-05-05,6:53 AM,51,14,39,0.0
390,2019-05-05,7:53 AM,53,9,40,0.0
391,2019-05-05,8:53 AM,55,8,40,0.0
392,2019-05-05,9:53 AM,56,10,41,0.0
393,2019-05-05,10:53 AM,56,7,43,0.0
394,2019-05-05,11:53 AM,58,12,43,0.0
395,2019-05-05,12:53 PM,59,8,37,0.0
396,2019-05-05,1:53 PM,62,10,36,0.0
397,2019-05-05,2:53 PM,63,9,36,0.0
398,2019-05-05,3:53 PM,63,6,34,0.0
399,2019-05-05,4:53 PM,61,6,35,0.0
400,2019-05-05,5:53 PM,60,9,36,0.0
401,2019-05-05,6:53 PM,60,8,34,0.0
402,2019-05-05,7:53 PM,59,8,29,0.0
403,2019-05-05,8:53 PM,57,10,31,0.0
404,2019-05-05,9:53 PM,55,9,35,0.0
405,2019-05-05,10:53 PM,54,12,34,0.0
406,2019-05-06,11:53 PM,52,15,34,0.0
407,2019-05-06,12:53 AM,50,8,34,0.0
408,2019-05-06,1:53 AM,51,10,30,0.0
409,2019-05-06,2:53 AM,50,10,25,0.0
410,2019-05-06,3:53 AM,49,7,25,0.0
411,2019-05-06,4:53 AM,48,14,26,0.0
412,2019-05-06,5:53 AM,47,12,27,0.0
413,2019-05-06,6:53 AM,48,13,27,0.0
414,2019-05-06,7:53 AM,48,14,27,0.0
415,2019-05-06,8:53 AM,52,15,26,0.0
416,2019-05-06,9:53 AM,53,15,25,0.0
417,2019-05-06,10:53 AM,55,12,25,0.0
418,2019-05-06,11:53 AM,56,8,25,0.0
419,2019-05-06,12:53 PM,58,14,26,0.0
420,2019-05-06,1:53 PM,58,9,25,0.0
421,2019-05-06,2:53 PM,57,12,25,0.0
422,2019-05-06,3:53 PM,57,5,24,0.0
423,2019-05-06,4:53 PM,57,8,23,0.0
424,2019-05-06,5:53 PM,56,8,26,0.0
425,2019-05-06,6:53 PM,55,8,25,0.0
426,2019-05-06,7:53 PM,54,10,22,0.0
427,2019-05-06,8:53 PM,53,9,24,0.0
428,2019-05-06,9:53 PM,52,6,24,0.0
429,2019-05-06,10:53 PM,51,7,24,0.0
430,2019-05-07,11:53 PM,49,9,26,0.0
431,2019-05-07,12:53 AM,47,8,26,0.0
432,2019-05-07,1:53 AM,44,7,26,0.0
433,2019-05-07,2:53 AM,44,8,28,0.0
434,2019-05-07,3:53 AM,42,7,27,0.0
435,2019-05-07,4:53 AM,40,6,27,0.0
436,2019-05-07,5:53 AM,43,6,28,0.0
437,2019-05-07,6:53 AM,46,7,27,0.0
438,2019-05-07,7:53 AM,49,7,27,0.0
439,2019-05-07,8:53 AM,52,9,28,0.0
440,2019-05-07,9:53 AM,54,9,29,0.0
441,2019-05-07,10:53 AM,56,8,28,0.0
442,2019-05-07,11:53 AM,58,10,28,0.0
443,2019-05-07,12:53 PM,59,0,29,0.0
444,2019-05-07,1:53 PM,61,12,29,0.0
445,2019-05-07,2:53 PM,62,7,27,0.0
446,2019-05-07,3:53 PM,63,6,28,0.0
447,2019-05-07,4:53 PM,62,8,28,0.0
448,2019-05-07,5:53 PM,61,12,28,0.0
449,2019-05-07,6:53 PM,61,9,29,0.0
450,2019-05-07,7:53 PM,59,7,31,0.0
451,2019-05-07,8:53 PM,58,8,32,0.0
452,2019-05-07,9:53 PM,57,9,33,0.0
453,2019-05-07,10:53 PM,56,8,33,0.0
454,2019-05-08,11:53 PM,55,13,33,0.0
455,2019-05-08,12:53 AM,55,12,35,0.0
456,2019-05-08,1:53 AM,54,10,36,0.0
457,2019-05-08,2:53 AM,53,13,36,0.0
458,2019-05-08,3:53 AM,52,15,35,0.0
459,2019-05-08,4:53 AM,51,14,33,0.0
460,2019-05-08,5:53 AM,50,17,28,0.0
461,2019-05-08,6:53 AM,49,16,24,0.0
462,2019-05-08,7:53 AM,49,16,24,0.0
463,2019-05-08,8:53 AM,48,18,30,0.0
464,2019-05-08,9:53 AM,45,16,35,0.0
465,2019-05-08,10:53 AM,44,16,37,0.0
466,2019-05-08,11:44 AM,43,18,40,0.1
467,2019-05-08,11:53 AM,43,21,40,0.1
468,2019-05-08,12:05 PM,44,17,40,0.1
469,2019-05-08,12:37 PM,43,21,40,0.2
470,2019-05-08,12:46 PM,43,23,40,0.2
471,2019-05-08,12:53 PM,43,20,40,0.2
472,2019-05-08,1:01 PM,43,22,40,0.0
473,2019-05-08,1:53 PM,43,21,40,0.2
474,2019-05-08,2:29 PM,43,22,40,0.2
475,2019-05-08,2:53 PM,43,22,40,0.3
476,2019-05-08,3:53 PM,43,20,39,0.1
477,2019-05-08,4:20 PM,42,20,39,0.1
478,2019-05-08,4:38 PM,42,20,39,0.1
479,2019-05-08,4:45 PM,42,17,39,0.1
480,2019-05-08,4:49 PM,43,18,39,0.1
481,2019-05-08,4:53 PM,42,21,39,0.1
482,2019-05-08,5:23 PM,42,21,39,0.1
483,2019-05-08,5:48 PM,43,20,37,0.1
484,2019-05-08,5:53 PM,42,20,39,0.1
485,2019-05-08,6:16 PM,41,17,38,0.0
486,2019-05-08,6:35 PM,41,22,38,0.1
487,2019-05-08,6:53 PM,41,21,38,0.1
488,2019-05-08,7:06 PM,41,21,38,0.0
489,2019-05-08,7:53 PM,40,17,37,0.0
490,2019-05-08,7:57 PM,40,18,37,0.0
491,2019-05-08,8:09 PM,39,18,37,0.0
492,2019-05-08,8:17 PM,39,17,37,0.0
493,2019-05-08,8:53 PM,38,16,36,0.1
494,2019-05-08,9:51 PM,37,18,36,0.0
495,2019-05-08,9:53 PM,38,17,35,0.0
496,2019-05-08,9:59 PM,38,17,35,0.0
497,2019-05-08,10:53 PM,38,15,35,0.0
498,2019-05-09,11:53 PM,37,17,34,0.0
499,2019-05-09,12:53 AM,36,17,33,0.0
500,2019-05-09,1:53 AM,36,18,33,0.0
501,2019-05-09,2:53 AM,36,16,33,0.0
502,2019-05-09,3:53 AM,35,17,33,0.0
503,2019-05-09,4:53 AM,35,15,32,0.0
504,2019-05-09,5:53 AM,35,18,33,0.0
505,2019-05-09,6:53 AM,36,18,33,0.0
506,2019-05-09,7:53 AM,38,17,33,0.0
507,2019-05-09,8:27 AM,39,20,33,0.0
508,2019-05-09,8:53 AM,40,18,34,0.0
509,2019-05-09,9:13 AM,40,22,33,0.0
510,2019-05-09,9:53 AM,42,28,33,0.0
511,2019-05-09,10:53 AM,45,24,33,0.0
512,2019-05-09,11:53 AM,48,17,35,0.0
513,2019-05-09,12:01 PM,48,21,34,0.0
514,2019-05-09,12:53 PM,49,14,34,0.0
515,2019-05-09,1:53 PM,51,17,34,0.0
516,2019-05-09,2:53 PM,52,20,34,0.0
517,2019-05-09,3:53 PM,53,14,35,0.0
518,2019-05-09,4:53 PM,52,17,34,0.0
519,2019-05-09,5:53 PM,52,13,34,0.0
520,2019-05-09,6:53 PM,52,14,33,0.0
521,2019-05-09,7:53 PM,50,9,35,0.0
522,2019-05-09,8:53 PM,49,7,35,0.0
523,2019-05-09,9:53 PM,48,6,35,0.0
524,2019-05-09,10:53 PM,47,5,35,0.0
525,2019-05-10,11:53 PM,45,6,35,0.0
526,2019-05-10,12:53 AM,44,6,35,0.0
527,2019-05-10,1:53 AM,43,7,35,0.0
528,2019-05-10,2:53 AM,41,6,34,0.0
529,2019-05-10,3:53 AM,39,3,33,0.0
530,2019-05-10,4:53 AM,39,0,33,0.0
531,2019-05-10,5:53 AM,41,0,34,0.0
532,2019-05-10,6:53 AM,45,0,35,0.0
533,2019-05-10,7:53 AM,49,0,35,0.0
534,2019-05-10,8:53 AM,53,5,34,0.0
535,2019-05-10,9:53 AM,55,0,31,0.0
